Market,Market full name,Android,iOS,Total
USA,米国,0.160,0.239,0.399
GBR,英国,0.027,0.028,0.055
DEU,ドイツ,0.038,0.016,0.054
JPN,日本,0.021,0.019,0.040
KOR,韓国,0.031,0.006,0.037
FRA,フランス,0.021,0.011,0.032
CAN,カナダ,0.012,0.016,0.029
BRA,ブラジル,0.020,0.005,0.025
RUS,ロシア,0.012,0.008,0.020
AUS,オーストラリア,0.010,0.009,0.019
OTHER,その他,0.196,0.095,0.291
