Market,Market full name,Genre,Android,iOS,Total
HKG,香港,RPG,66.0,71.0,67.9
KWT,クウェート,RPG,65.9,59.3,63.8
ARE,アラブ首長国連邦,RPG,50.1,51.0,50.2
CHE,スイス,RPG,47.1,52.6,49.0
SGP,シンガポール,RPG,46.0,53.8,50.0
ISR,イスラエル,RPG,41.9,41.1,41.5
NOR,ノルウェイ,RPG,41.7,31.6,35.2
KOR,韓国,RPG,41.2,38.3,40.2
TWN,台湾,RPG,38.6,42.5,40.0
JPN,日本,RPG,37.0,42.3,40.4
AUT,オーストリア,RPG,35.2,33.5,34.6
USA,米国,RPG,34.4,41.5,37.9
AUS,オーストラリア,RPG,33.5,37.9,35.9
NLD,オランダ,RPG,32.5,31.4,31.9
BEL,ベルギー,RPG,31.5,30.7,31.4
SAU,サウジアラビア,RPG,,36.4,33.9
CAN,カナダ,RPG,31.4,36.2,32.8
QAT,カタール,RPG,,,65.7
CHE,スイス,マッチング,16.8,22.5,20.7
ISR,イスラエル,マッチング,14.8,19.3,18.6
IRL,アイルランド,マッチング,13.2,20.2,17.1
HKG,香港,マッチング,12.7,22.2,20.5
HRV,クロアチア,マッチング,12.2,,14.5
NOR,ノルウェイ,マッチング,12.0,17.3,15.6
AUT,オーストリア,マッチング,11.3,18.8,13.9
AUS,オーストラリア,マッチング,8.2,14.3,10.3
SVK,スロベニア,マッチング,8.1,,13.3
SGP,シンガポール,マッチング,7.5,22.1,16.1
NZL,ニュージーランド,マッチング,7.5,16.1,10.9
USA,米国,マッチング,7.4,15.0,11.0
SWE,スウェーデン,マッチング,7.3,14.1,12.5
CAN,カナダ,マッチング,6.8,14.1,10.3
BEL,ベルギー,マッチング,6.6,16.0,13.4
KWT,クウェート,マッチング,,22.0,21.4
GRC,ギリシャ,マッチング,2.5,22.0,15.5
ARE,アラブ首長国連邦,マッチング,1.9,21.0,14.8
FIN,フィンランド,マッチング,6.1,17.9,15.7
ZAF,南アフリカ,マッチング,2.7,16.3,11.0
PRT,ポルトガル,マッチング,1.4,15.3,11.5
QAT,カタール,マッチング,,,25.2
SRB,セルビア,マッチング,0.7,,14.9
CHE,スイス,シミュレーション,23.9,21.4,22.7
HKG,香港,シミュレーション,20.3,24.5,22.4
AUT,オーストリア,シミュレーション,19.6,17.0,18.1
NOR,ノルウェイ,シミュレーション,18.5,15.3,16.3
SGP,シンガポール,シミュレーション,16.8,16.9,16.8
JPN,日本,シミュレーション,16.6,17.5,17.0
ISR,イスラエル,シミュレーション,16.2,19.3,17.9
KOR,韓国,シミュレーション,15.1,14.8,14.9
BEL,ベルギー,シミュレーション,15.1,14.8,15.0
USA,米国,シミュレーション,15.0,16.1,15.1
SWE,スウェーデン,シミュレーション,14.8,13.1,14.3
DEU,ドイツ,シミュレーション,14.3,15.8,14.7
TWN,台湾,シミュレーション,14.3,12.4,13.8
IRL,アイルランド,シミュレーション,14.3,13.1,13.7
AUS,オーストラリア,シミュレーション,14.3,15.5,15.0
QAT,カタール,シミュレーション,,26.8,25.9
KWT,クウェート,シミュレーション,,22.2,22.0
GRC,ギリシャ,シミュレーション,12.2,16.2,14.5
ARE,アラブ首長国連邦,シミュレーション,7.6,15.6,13.8
CAN,カナダ,シミュレーション,14.2,14.9,14.6
HKG,香港,戦略,62.1,66.2,63.5
ARE,アラブ首長国連邦,戦略,51.0,56.0,54.3
SGP,シンガポール,戦略,41.4,46.2,45.5
CHE,スイス,戦略,39.9,42.6,41.3
SAU,サウジアラビア,戦略,39.1,42.7,40.3
TWN,台湾,戦略,37.8,38.4,38.0
NOR,ノルウェイ,戦略,33.9,26.5,29.4
KOR,韓国,戦略,33.9,32.4,33.1
AUT,オーストリア,戦略,32.7,31.2,31.8
ISR,イスラエル,戦略,31.6,31.1,31.5
RUS,ロシア,戦略,31.2,22.5,25.6
JPN,日本,戦略,30.2,34.4,31.6
BEL,ベルギー,戦略,29.0,28.6,28.8
IRL,アイルランド,戦略,28.5,,27.9
USA,米国,戦略,28.4,32.8,31.0
KWT,クウェート,戦略,,56.9,57.1
VNM,ベトナム,戦略,19.5,41.5,30.1
GRC,ギリシャ,戦略,26.2,33.8,29.1
