Market,Market full name,Android,iOS,Total
USA,美国,0.160,0.239,0.399
GBR,英国,0.027,0.028,0.055
DEU,德国,0.038,0.016,0.054
JPN,日本,0.021,0.019,0.040
KOR,韩国,0.031,0.006,0.037
FRA,法国,0.021,0.011,0.032
CAN,加拿大,0.012,0.016,0.029
BRA,巴西,0.020,0.005,0.025
RUS,俄罗斯,0.012,0.008,0.020
AUS,澳大利亚,0.010,0.009,0.019
OTHER,其他,0.196,0.095,0.291
