Market,Market full name,UA Spend,Revenue
USA,米国,0.399,0.397
KOR,韓国,0.037,0.083
JPN,日本,0.040,0.082
DEU,ドイツ,0.054,0.049
GBR,英国,0.055,0.041
TWN,台湾,0.013,0.035
FRA,フランス,0.032,0.028
CAN,カナダ,0.029,0.024
AUS,オーストラリア,0.019,0.022
BRA,ブラジル,0.025,0.020
OTHER,その他,0.298,0.219
