Market,Market full name,Genre,Android,iOS,Total
HKG,홍콩,RPG,66.0,71.0,67.9
KWT,쿠웨이트,RPG,65.9,59.3,63.8
ARE,아랍에미리트,RPG,50.1,51.0,50.2
CHE,스위스,RPG,47.1,52.6,49.0
SGP,싱가포르,RPG,46.0,53.8,50.0
ISR,이스라엘,RPG,41.9,41.1,41.5
NOR,노르웨이,RPG,41.7,31.6,35.2
KOR,한국,RPG,41.2,38.3,40.2
TWN,대만,RPG,38.6,42.5,40.0
JPN,일본,RPG,37.0,42.3,40.4
AUT,오스트리아,RPG,35.2,33.5,34.6
USA,미국,RPG,34.4,41.5,37.9
AUS,호주,RPG,33.5,37.9,35.9
NLD,네덜란드,RPG,32.5,31.4,31.9
BEL,벨기에,RPG,31.5,30.7,31.4
SAU,사우디아라비아,RPG,,36.4,33.9
CAN,캐나다,RPG,31.4,36.2,32.8
QAT,카타르,RPG,,,65.7
CHE,스위스,매치,16.8,22.5,20.7
ISR,이스라엘,매치,14.8,19.3,18.6
IRL,아일랜드,매치,13.2,20.2,17.1
HKG,홍콩,매치,12.7,22.2,20.5
HRV,크로아티아,매치,12.2,,14.5
NOR,노르웨이,매치,12.0,17.3,15.6
AUT,오스트리아,매치,11.3,18.8,13.9
AUS,호주,매치,8.2,14.3,10.3
SVK,슬로바키아,매치,8.1,,13.3
SGP,싱가포르,매치,7.5,22.1,16.1
NZL,뉴질랜드,매치,7.5,16.1,10.9
USA,미국,매치,7.4,15.0,11.0
SWE,스웨덴,매치,7.3,14.1,12.5
CAN,캐나다,매치,6.8,14.1,10.3
BEL,벨기에,매치,6.6,16.0,13.4
KWT,쿠웨이트,매치,,22.0,21.4
GRC,그리스,매치,2.5,22.0,15.5
ARE,아랍에미리트,매치,1.9,21.0,14.8
FIN,핀란드,매치,6.1,17.9,15.7
ZAF,남아프리카공화국,매치,2.7,16.3,11.0
PRT,포르투갈,매치,1.4,15.3,11.5
QAT,카타르,매치,,,25.2
SRB,세르비아,매치,0.7,,14.9
CHE,스위스,시뮬레이션,23.9,21.4,22.7
HKG,홍콩,시뮬레이션,20.3,24.5,22.4
AUT,오스트리아,시뮬레이션,19.6,17.0,18.1
NOR,노르웨이,시뮬레이션,18.5,15.3,16.3
SGP,싱가포르,시뮬레이션,16.8,16.9,16.8
JPN,일본,시뮬레이션,16.6,17.5,17.0
ISR,이스라엘,시뮬레이션,16.2,19.3,17.9
KOR,한국,시뮬레이션,15.1,14.8,14.9
BEL,벨기에,시뮬레이션,15.1,14.8,15.0
USA,미국,시뮬레이션,15.0,16.1,15.1
SWE,스웨덴,시뮬레이션,14.8,13.1,14.3
DEU,독일,시뮬레이션,14.3,15.8,14.7
TWN,대만,시뮬레이션,14.3,12.4,13.8
IRL,아일랜드,시뮬레이션,14.3,13.1,13.7
AUS,호주,시뮬레이션,14.3,15.5,15.0
QAT,카타르,시뮬레이션,,26.8,25.9
KWT,쿠웨이트,시뮬레이션,,22.2,22.0
GRC,그리스,시뮬레이션,12.2,16.2,14.5
ARE,아랍에미리트,시뮬레이션,7.6,15.6,13.8
CAN,캐나다,시뮬레이션,14.2,14.9,14.6
HKG,홍콩,전략,62.1,66.2,63.5
ARE,아랍에미리트,전략,51.0,56.0,54.3
SGP,싱가포르,전략,41.4,46.2,45.5
CHE,스위스,전략,39.9,42.6,41.3
SAU,사우디아라비아,전략,39.1,42.7,40.3
TWN,대만,전략,37.8,38.4,38.0
NOR,노르웨이,전략,33.9,26.5,29.4
KOR,한국,전략,33.9,32.4,33.1
AUT,오스트리아,전략,32.7,31.2,31.8
ISR,이스라엘,전략,31.6,31.1,31.5
