Market,Market full name,Genre,Android,iOS,Total
USA,美国,匹配类,18.86%,28.10%,46.96%
GBR,英国,匹配类,2.78%,3.12%,5.91%
JPN,日本,匹配类,2.77%,2.93%,5.70%
DEU,德国,匹配类,3.48%,1.64%,5.12%
KOR,韩国,匹配类,2.68%,0.63%,3.32%
FRA,法国,匹配类,1.68%,1.00%,2.68%
CAN,加拿大,匹配类,0.81%,1.53%,2.34%
BRA,巴西,匹配类,1.41%,0.60%,2.01%
AUS,澳大利亚,匹配类,0.69%,1.19%,1.88%
ITA,意大利,匹配类,1.18%,0.63%,1.82%
USA,美国,模拟类,13.40%,18.89%,32.29%
DEU,德国,模拟类,4.00%,1.68%,5.68%
GBR,英国,模拟类,2.80%,2.59%,5.39%
BRA,巴西,模拟类,3.00%,0.65%,3.66%
JPN,日本,模拟类,2.10%,1.39%,3.50%
FRA,法国,模拟类,2.14%,1.06%,3.20%
TUR,土耳其,模拟类,2.49%,0.51%,3.00%
RUS,俄罗斯,模拟类,1.98%,0.95%,2.93%
CAN,加拿大,模拟类,1.37%,1.52%,2.89%
KOR,韩国,模拟类,1.96%,0.46%,2.42%
USA,美国,角色扮演类,15.14%,9.98%,25.13%
KOR,韩国,角色扮演类,21.47%,3.48%,24.95%
JPN,日本,角色扮演类,5.24%,4.51%,9.76%
TWN,中国台湾,角色扮演类,3.71%,2.35%,6.06%
DEU,德国,角色扮演类,2.86%,0.86%,3.72%
VNM,越南,角色扮演类,0.34%,2.90%,3.24%
GBR,英国,角色扮演类,1.89%,1.22%,3.10%
FRA,法国,角色扮演类,2.23%,0.80%,3.02%
CAN,加拿大,角色扮演类,1.47%,0.81%,2.29%
RUS,俄罗斯,角色扮演类,1.31%,0.57%,1.88%
USA,美国,益智类,13.81%,29.70%,43.50%
GBR,英国,益智类,2.95%,3.42%,6.37%
DEU,德国,益智类,3.72%,1.43%,5.15%
JPN,日本,益智类,2.88%,1.79%,4.66%
CAN,加拿大,益智类,1.58%,2.61%,4.19%
FRA,法国,益智类,1.84%,0.99%,2.83%
KOR,韩国,益智类,2.04%,0.33%,2.37%
AUS,澳大利亚,益智类,1.09%,1.26%,2.35%
BRA,巴西,益智类,1.77%,0.53%,2.30%
MEX,墨西哥,益智类,1.65%,0.25%,1.91%
USA,美国,策略类,17.93%,16.08%,34.01%
JPN,日本,策略类,2.48%,4.58%,7.06%
DEU,德国,策略类,4.05%,2.15%,6.20%
KOR,韩国,策略类,5.09%,0.76%,5.85%
GBR,英国,策略类,2.77%,2.41%,5.17%
FRA,法国,策略类,2.42%,1.43%,3.85%
CAN,加拿大,策略类,1.64%,1.30%,2.94%
SAU,沙特阿拉伯,策略类,0.70%,1.98%,2.67%
RUS,俄罗斯,策略类,1.99%,0.43%,2.42%
TWN,中国台湾,策略类,1.64%,0.68%,2.32%
USA,美国,桌面类,13.61%,34.10%,47.71%
GBR,英国,桌面类,2.23%,4.15%,6.38%
DEU,德国,桌面类,3.82%,2.38%,6.20%
CAN,加拿大,桌面类,1.11%,3.22%,4.33%
FRA,法国,桌面类,1.40%,1.24%,2.64%
AUS,澳大利亚,桌面类,0.91%,1.64%,2.55%
JPN,日本,桌面类,1.69%,0.82%,2.51%
RUS,俄罗斯,桌面类,0.48%,1.23%,1.71%
BRA,巴西,桌面类,1.36%,0.25%,1.61%
SAU,沙特阿拉伯,桌面类,0.21%,1.31%,1.51%
USA,美国,博彩类,21.66%,43.85%,65.51%
GBR,英国,博彩类,1.46%,2.60%,4.07%
DEU,德国,博彩类,2.53%,1.40%,3.93%
AUS,澳大利亚,博彩类,1.60%,1.52%,3.12%
JPN,日本,博彩类,0.60%,1.93%,2.54%
VNM,越南,博彩类,1.62%,0.77%,2.38%
TWN,中国台湾,博彩类,0.72%,1.48%,2.20%
CAN,加拿大,博彩类,0.53%,1.47%,2.00%
TUR,土耳其,博彩类,0.95%,0.68%,1.64%
FRA,法国,博彩类,0.42%,1.11%,1.53%
USA,美国,动作类,14.97%,15.22%,30.19%
DEU,德国,动作类,3.95%,1.50%,5.45%
RUS,俄罗斯,动作类,2.82%,1.14%,3.96%
FRA,法国,动作类,2.52%,1.27%,3.79%
BRA,巴西,动作类,3.28%,0.50%,3.78%
