Market,Market full name,Genre,Android,iOS,Total
GBR,英国,动作类,2.28%,1.48%,3.76%
TUR,土耳其,动作类,2.54%,1.01%,3.55%
KOR,韩国,动作类,2.05%,0.54%,2.59%
JPN,日本,动作类,1.40%,1.16%,2.55%
IDN,印度尼西亚,动作类,2.16%,0.38%,2.54%
USA,美国,超休闲类,8.97%,14.21%,23.17%
GBR,英国,超休闲类,2.02%,2.87%,4.89%
DEU,德国,超休闲类,2.84%,1.49%,4.34%
BRA,巴西,超休闲类,2.96%,1.24%,4.20%
IND,印度,超休闲类,3.83%,0.28%,4.10%
RUS,俄罗斯,超休闲类,1.66%,2.37%,4.03%
FRA,法国,超休闲类,1.98%,1.58%,3.56%
JPN,日本,超休闲类,1.12%,1.37%,2.49%
MEX,墨西哥,超休闲类,1.76%,0.62%,2.39%
TUR,土耳其,超休闲类,1.48%,0.89%,2.37%
USA,美国,派对类,28.40%,32.78%,61.18%
GBR,英国,派对类,3.02%,2.32%,5.33%
DEU,德国,派对类,2.14%,2.09%,4.23%
CAN,加拿大,派对类,1.43%,2.16%,3.59%
FRA,法国,派对类,1.67%,1.24%,2.91%
BRA,巴西,派对类,1.62%,0.48%,2.10%
ITA,意大利,派对类,1.18%,0.61%,1.79%
JPN,日本,派对类,0.87%,0.80%,1.67%
POL,波兰,派对类,1.12%,0.28%,1.40%
AUS,澳大利亚,派对类,0.49%,0.58%,1.07%
