Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
East Asia Pacific,TWN,中国台湾,0.093,0.061,40.00,角色扮演类
East Asia Pacific,HKG,中国香港,0.043,0.001,67.65,角色扮演类
East Asia Pacific,SGP,新加坡,0.010,0.009,49.96,角色扮演类
US and English Language,USA,美国,0.385,0.323,15.11,模拟类
US and English Language,GBR,英国,0.052,0.054,12.29,模拟类
US and English Language,CAN,加拿大,0.028,0.029,14.61,模拟类
US and English Language,AUS,澳大利亚,0.025,0.019,14.91,模拟类
US and English Language,NZL,新西兰,0.004,0.003,12.92,模拟类
US and English Language,IRL,爱尔兰,0.002,0.004,13.65,模拟类
LATAM Spanish Speaking,MEX,墨西哥,0.009,0.023,5.98,模拟类
LATAM Spanish Speaking,CHL,智利,0.003,0.007,5.26,模拟类
LATAM Spanish Speaking,COL,哥伦比亚,0.001,0.003,3.57,模拟类
LATAM Spanish Speaking,ARG,阿根廷,0.001,0.004,0.73,模拟类
LATAM Spanish Speaking,PER,秘鲁,0.001,0.003,3.60,模拟类
LATAM Spanish Speaking,PRI,波多黎各,0.001,0.001,12.59,模拟类
LATAM Spanish Speaking,CRI,哥斯达黎加,0.001,0.001,7.15,模拟类
Global Developing Markets,BRA,巴西,0.014,0.037,5.60,模拟类
Global Developing Markets,THA,泰国,0.007,0.014,5.05,模拟类
Global Developing Markets,IDN,印度尼西亚,0.008,0.014,6.13,模拟类
Global Developing Markets,VNM,越南,0.005,0.010,3.13,模拟类
Global Developing Markets,PHL,菲律宾,0.006,0.014,5.77,模拟类
Global Developing Markets,IND,印度,0.004,0.005,8.98,模拟类
Global Developing Markets,MYS,马来西亚,0.005,0.008,7.33,模拟类
Global Developing Markets,ZAF,南非,0.003,0.008,7.96,模拟类
Global Developing Markets,KAZ,哈萨克斯坦,0.002,0.004,5.04,模拟类
Global Developing Markets,EGY,埃及,0.001,0.003,0.47,模拟类
Global Developing Markets,IRQ,伊拉克,0.000,0.002,1.90,模拟类
Europe & Middle East (Group 2),RUS,俄罗斯,0.012,0.029,0.86,模拟类
Europe & Middle East (Group 2),TUR,土耳其,0.009,0.030,6.26,模拟类
Europe & Middle East (Group 2),POL,波兰,0.007,0.014,9.98,模拟类
Europe & Middle East (Group 2),SAU,沙特阿拉伯,0.004,0.014,9.25,模拟类
Europe & Middle East (Group 2),UKR,乌克兰,0.004,0.006,7.11,模拟类
Europe & Middle East (Group 2),ROU,罗马尼亚,0.002,0.006,9.17,模拟类
Europe & Middle East (Group 2),CZE,捷克,0.003,0.004,11.79,模拟类
Europe & Middle East (Group 2),GRC,希腊,0.001,0.003,14.61,模拟类
Europe & Middle East (Group 2),PRT,葡萄牙,0.002,0.003,12.23,模拟类
Europe & Middle East (Group 2),HUN,匈牙利,0.001,0.003,8.47,模拟类
Europe & Middle East (Group 2),FIN,芬兰,0.002,0.003,14.39,模拟类
Europe & Middle East (Group 2),BGR,保加利亚,0.001,0.002,11.68,模拟类
Europe & Middle East (Group 2),SVK,斯洛伐克,0.001,0.001,10.05,模拟类
Europe & Middle East (Group 2),HRV,克罗地亚,0.001,0.002,13.07,模拟类
Europe & Middle East (Group 2),BLR,白俄罗斯,0.001,0.002,6.47,模拟类
Europe & Middle East (Group 2),LTU,立陶宛,0.001,0.002,10.85,模拟类
Europe & Middle East (Group 1),DEU,德国,0.053,0.057,14.70,模拟类
Europe & Middle East (Group 1),FRA,法国,0.026,0.032,14.08,模拟类
Europe & Middle East (Group 1),ITA,意大利,0.009,0.018,11.52,模拟类
Europe & Middle East (Group 1),ESP,西班牙,0.007,0.011,11.96,模拟类
Europe & Middle East (Group 1),NLD,荷兰,0.010,0.010,13.62,模拟类
Europe & Middle East (Group 1),CHE,瑞士,0.008,0.006,22.73,模拟类
Europe & Middle East (Group 1),AUT,奥地利,0.006,0.007,18.14,模拟类
Europe & Middle East (Group 1),BEL,比利时,0.005,0.008,14.96,模拟类
Europe & Middle East (Group 1),SWE,瑞典,0.005,0.005,14.16,模拟类
Europe & Middle East (Group 1),ISR,以色列,0.002,0.004,18.74,模拟类
Europe & Middle East (Group 1),NOR,挪威,0.004,0.005,16.23,模拟类
Europe & Middle East (Group 1),ARE,阿联酋,0.002,0.006,14.32,模拟类
Europe & Middle East (Group 1),DNK,丹麦,0.003,0.004,13.13,模拟类
Europe & Middle East (Group 1),KWT,科威特,0.001,0.001,21.72,模拟类
Europe & Middle East (Group 1),QAT,卡塔尔,0.001,0.001,26.77,模拟类
East Asia Pacific,KOR,韩国,0.041,0.024,14.88,模拟类
East Asia Pacific,JPN,日本,0.163,0.035,16.95,模拟类
East Asia Pacific,TWN,中国台湾,0.018,0.012,14.00,模拟类
East Asia Pacific,HKG,中国香港,0.009,0.000,22.88,模拟类
East Asia Pacific,SGP,新加坡,0.004,0.003,16.78,模拟类
US and English Language,USA,美国,0.320,0.340,30.97,策略类
US and English Language,GBR,英国,0.040,0.052,21.52,策略类
US and English Language,CAN,加拿大,0.023,0.029,27.58,策略类
US and English Language,AUS,澳大利亚,0.020,0.019,28.85,策略类
US and English Language,NZL,新西兰,0.003,0.004,21.63,策略类
US and English Language,IRL,爱尔兰,0.002,0.002,27.86,策略类
LATAM Spanish Speaking,MEX,墨西哥,0.006,0.005,14.78,策略类
LATAM Spanish Speaking,CHL,智利,0.002,0.001,12.68,策略类
LATAM Spanish Speaking,COL,哥伦比亚,0.001,0.001,11.46,策略类
LATAM Spanish Speaking,ARG,阿根廷,0.001,0.002,12.09,策略类
LATAM Spanish Speaking,PER,秘鲁,0.001,0.001,14.16,策略类
LATAM Spanish Speaking,PRI,波多黎各,0.001,0.000,23.73,策略类
Global Developing Markets,BRA,巴西,0.012,0.011,13.01,策略类
Global Developing Markets,THA,泰国,0.010,0.012,16.28,策略类
Global Developing Markets,IDN,印度尼西亚,0.009,0.013,13.82,策略类
Global Developing Markets,VNM,越南,0.014,0.010,29.33,策略类
Global Developing Markets,PHL,菲律宾,0.007,0.007,16.00,策略类
Global Developing Markets,IND,印度,0.005,0.004,17.94,策略类
Global Developing Markets,MYS,马来西亚,0.006,0.008,17.52,策略类
Global Developing Markets,ZAF,南非,0.001,0.002,16.52,策略类
Global Developing Markets,KAZ,哈萨克斯坦,0.002,0.002,20.03,策略类
Global Developing Markets,EGY,埃及,0.001,0.002,28.81,策略类
Europe & Middle East (Group 2),RUS,俄罗斯,0.027,0.024,25.62,策略类
Europe & Middle East (Group 2),TUR,土耳其,0.015,0.018,19.03,策略类
Europe & Middle East (Group 2),POL,波兰,0.009,0.012,17.03,策略类
Europe & Middle East (Group 2),SAU,沙特阿拉伯,0.012,0.027,40.30,策略类
Europe & Middle East (Group 2),UKR,乌克兰,0.007,0.005,17.71,策略类
Europe & Middle East (Group 2),ROU,罗马尼亚,0.004,0.003,22.38,策略类
Europe & Middle East (Group 2),CZE,捷克,0.003,0.002,19.46,策略类
Europe & Middle East (Group 2),GRC,希腊,0.002,0.003,29.13,策略类
Europe & Middle East (Group 2),PRT,葡萄牙,0.002,0.002,23.53,策略类
Europe & Middle East (Group 2),HUN,匈牙利,0.001,0.001,18.67,策略类
Europe & Middle East (Group 2),FIN,芬兰,0.001,0.003,25.12,策略类
Europe & Middle East (Group 2),BGR,保加利亚,0.001,0.001,24.81,策略类
Europe & Middle East (Group 2),SVK,斯洛伐克,0.001,0.001,19.54,策略类
Europe & Middle East (Group 2),HRV,克罗地亚,0.001,0.001,24.55,策略类
Europe & Middle East (Group 2),SRB,塞尔维亚,0.001,0.001,22.34,策略类
Europe & Middle East (Group 2),BLR,白俄罗斯,0.001,0.001,19.39,策略类
Europe & Middle East (Group 2),LTU,立陶宛,0.001,0.001,26.44,策略类
Europe & Middle East (Group 1),DEU,德国,0.057,0.062,27.05,策略类
Europe & Middle East (Group 1),FRA,法国,0.028,0.039,25.88,策略类
Europe & Middle East (Group 1),ITA,意大利,0.011,0.014,20.82,策略类
Europe & Middle East (Group 1),ESP,西班牙,0.007,0.009,19.73,策略类
Europe & Middle East (Group 1),NLD,荷兰,0.010,0.010,26.74,策略类
Europe & Middle East (Group 1),CHE,瑞士,0.009,0.006,41.27,策略类
Europe & Middle East (Group 1),AUT,奥地利,0.007,0.007,31.76,策略类
Europe & Middle East (Group 1),BEL,比利时,0.005,0.006,28.83,策略类
Europe & Middle East (Group 1),SWE,瑞典,0.004,0.005,24.16,策略类
Europe & Middle East (Group 1),ISR,以色列,0.003,0.003,31.48,策略类
Europe & Middle East (Group 1),NOR,挪威,0.004,0.003,29.44,策略类
Europe & Middle East (Group 1),ARE,阿联酋,0.005,0.012,54.34,策略类
Europe & Middle East (Group 1),DNK,丹麦,0.003,0.003,25.61,策略类
Europe & Middle East (Group 1),KWT,科威特,0.003,0.006,57.12,策略类
Europe & Middle East (Group 1),QAT,卡塔尔,0.002,0.002,76.38,策略类
East Asia Pacific,KOR,韩国,0.113,0.059,33.08,策略类
East Asia Pacific,JPN,日本,0.072,0.071,31.63,策略类
East Asia Pacific,TWN,中国台湾,0.040,0.023,37.98,策略类
East Asia Pacific,HKG,中国香港,0.028,0.001,63.70,策略类
East Asia Pacific,SGP,新加坡,0.007,0.005,44.85,策略类
